"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene17795",1.33193136169691e-56,0.42936569553954,1,1,2.66386272339382e-52
"Gene6582",3.22547507915533e-38,0.309104503783079,1,1,6.45095015831066e-34
"Gene13144",1.17356198068571e-37,0.259286858146014,1,1,2.34712396137141e-33
"Gene7578",4.27969914847395e-34,0.288026242391594,1,1,8.5593982969479e-30
"Gene3376",8.90233224218695e-23,0.2537776417758,1,1,1.78046644843739e-18
"Gene8367",1.85433444387842e-21,0.294062317125957,0.979,0.917,3.70866888775683e-17
"Gene6352",4.88189066669047e-20,0.253957933387423,1,1,9.76378133338094e-16
"Gene11123",9.65244483235904e-15,0.270852234952543,0.995,0.977,1.93048896647181e-10
